event,tier,t_entry,pnl,cost,fee,contracts,n_tickers,n_buys,entry_c,klass,hr,utc_hour,et_hour,block,day
KXATPCHALLENGERMATCH-26JUL28ADDPOU,Challenger,2026-07-28 15:54:27.624146+00:00,-2.5300000000000002,13.530000000000001,0.0,11.0,1,1,54.0,bot,2026-07-28 15:00:00+00:00,15,11,12-15,2026-07-28
KXITFMATCH-26JUL28PERZAH,ITF-M,2026-07-28 15:55:33.502032+00:00,3.0048000000000004,5.85,0.1452,9.0,1,1,67.0,bot,2026-07-28 15:00:00+00:00,15,11,12-15,2026-07-28
KXITFMATCH-26JUL28DHOREC,ITF-M,2026-07-28 15:55:34.605435+00:00,-3.435199999999999,11.2,0.2352,8.0,1,1,70.0,bot,2026-07-28 15:00:00+00:00,15,11,12-15,2026-07-28
KXITFMATCH-26JUL28ROUSTR,ITF-M,2026-07-28 16:01:11.707455+00:00,2.4299999999999997,6.57,0.0,9.0,1,1,68.0,bot,2026-07-28 16:00:00+00:00,16,12,16-19,2026-07-28
KXATPMATCH-26JUL27MAJPAU,ATP,2026-07-28 16:03:57.403641+00:00,6.0142999999999995,12.65,0.3357,19.0,1,2,57.0,bot,2026-07-28 16:00:00+00:00,16,12,16-19,2026-07-28
KXWTAMATCH-26JUL28BUCKUD,WTA,2026-07-28 16:06:11.655061+00:00,-2.8092000000000006,11.52,0.2892,9.0,1,1,67.0,bot,2026-07-28 16:00:00+00:00,16,12,16-19,2026-07-28
KXWTAMATCH-26JUL27SONBRA,WTA,2026-07-28 16:06:13.757975+00:00,-1.8232999999999997,9.76,0.0633,8.0,1,1,72.0,bot,2026-07-28 16:00:00+00:00,16,12,16-19,2026-07-28
KXWTAMATCH-26JUL27WANMCC,WTA,2026-07-28 16:17:40.195031+00:00,-4.0225,12.870000000000001,0.1525,9.0,1,2,67.0,bot,2026-07-28 16:00:00+00:00,16,12,16-19,2026-07-28
KXITFMATCH-26JUL28MAZEDE,ITF-M,2026-07-28 17:04:11.722069+00:00,-3.0044000000000013,20.52,0.4844,18.0,1,1,34.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXITFMATCH-26JUL28FONORT,ITF-M,2026-07-28 17:04:13.130332+00:00,1.9200000000000004,6.08,0.0,8.0,1,1,71.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXITFWMATCH-26JUL28BRODES,ITF-W,2026-07-28 17:05:25.305832+00:00,-3.0193,11.879999999999999,0.1393,9.0,1,1,68.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXITFMATCH-26JUL28LESMEN,ITF-M,2026-07-28 17:25:39.176756+00:00,-2.8984000000000005,11.61,0.2884,9.0,1,1,63.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXATPCHALLENGERMATCH-26JUL28MONJOR,Challenger,2026-07-28 17:53:09.534157+00:00,0.0,0.0,0.0,0.0,1,1,72.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXITFWMATCH-26JUL28AGUHAR,ITF-W,2026-07-28 17:54:14.103800+00:00,-6.1429,25.5,0.6428999999999999,20.0,1,2,59.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXITFMATCH-26JUL28MECORL,ITF-M,2026-07-28 17:55:30.264375+00:00,1.7600000000000002,6.24,0.0,8.0,1,1,73.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXATPCHALLENGERMATCH-26JUL27MILVAN,Challenger,2026-07-28 17:56:08.876018+00:00,2.5199999999999996,6.48,0.0,9.0,1,1,67.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXITFWMATCH-26JUL28DIGMIK,ITF-W,2026-07-28 17:58:39.060523+00:00,-3.2769,11.04,0.2369,8.0,1,1,74.0,bot,2026-07-28 17:00:00+00:00,17,13,16-19,2026-07-28
KXITFWMATCH-26JUL28NEWHAZ,ITF-W,2026-07-28 18:25:27.285350+00:00,3.1500000000000004,5.85,0.0,9.0,1,1,64.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXITFMATCH-26JUL28NAGBRA,ITF-M,2026-07-28 18:30:07.777175+00:00,1.8046000000000004,6.08,0.1154,8.0,1,2,74.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXWTAMATCH-26JUL27EALZHE,WTA,2026-07-28 18:31:30.972944+00:00,-2.8960999999999997,11.61,0.2861,9.0,1,1,69.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXATPCHALLENGERMATCH-26JUL28ZHULAN,Challenger,2026-07-28 18:32:30.132984+00:00,2.34,6.66,0.0,9.0,1,1,69.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXITFWMATCH-26JUL28ANGCRO,ITF-W,2026-07-28 18:34:34.026926+00:00,0.0,0.0,0.0,0.0,1,1,66.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXATPMATCH-26JUL27MANTIE,ATP,2026-07-28 18:44:13.750287+00:00,0.0,0.0,0.0,0.0,1,1,60.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXITFWMATCH-26JUL28ZHUHRA,ITF-W,2026-07-28 18:49:11.848201+00:00,2.7407,6.12,0.1393,9.0,1,1,69.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXITFMATCH-26JUL28OSOCHA,ITF-M,2026-07-28 18:50:30.537379+00:00,1.5722,6.32,0.1078,8.0,1,1,74.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXITFWMATCH-26JUL28COLKOI,ITF-W,2026-07-28 18:58:09.549167+00:00,2.5652000000000004,6.3,0.1348,9.0,1,1,69.0,bot,2026-07-28 18:00:00+00:00,18,14,16-19,2026-07-28
KXITFMATCH-26JUL28STOBAE,ITF-M,2026-07-28 19:01:31.236599+00:00,-3.3561,11.120000000000001,0.2361,8.0,1,1,73.0,bot,2026-07-28 19:00:00+00:00,19,15,16-19,2026-07-28
KXITFWMATCH-26JUL28KULFRO,ITF-W,2026-07-28 19:10:09.623562+00:00,-2.4912,11.34,0.1512,9.0,1,2,66.0,bot,2026-07-28 19:00:00+00:00,19,15,16-19,2026-07-28
KXATPMATCH-26JUL27GIRHEW,ATP,2026-07-28 19:19:40.160515+00:00,3.3499000000000003,6.6,0.0501,10.0,1,1,61.0,bot,2026-07-28 19:00:00+00:00,19,15,16-19,2026-07-28
KXITFMATCH-26JUL28DUSFIL,ITF-M,2026-07-28 19:33:16.516757+00:00,-2.9352999999999994,11.649999999999999,0.28529999999999994,9.0,1,1,68.0,bot,2026-07-28 19:00:00+00:00,19,15,16-19,2026-07-28
KXITFMATCH-26JUL28HUELEI,ITF-M,2026-07-28 19:56:09.533793+00:00,-2.6723999999999988,11.52,0.1524,9.0,1,1,69.0,bot,2026-07-28 19:00:00+00:00,19,15,16-19,2026-07-28
KXITFMATCH-26JUL28OLIVER,ITF-M,2026-07-28 20:03:53.355129+00:00,-6.0,6.0,0.0,10.0,1,1,60.0,bot,2026-07-28 20:00:00+00:00,20,16,20-23,2026-07-28
KXITFWMATCH-26JUL28SAIPER,ITF-W,2026-07-28 20:11:35.195331+00:00,1.9722,5.92,0.1078,8.0,1,1,74.0,bot,2026-07-28 20:00:00+00:00,20,16,20-23,2026-07-28
