event,tier,match_date,t_entry,t_settled,pnl,fee,cost,contracts,n_tickers,n_buy_orders,entry_px,klass
KXATPCHALLENGERMATCH-26JUL28OLITAB,Challenger,2026-07-28,2026-07-28 13:45:56.422044+00:00,2026-07-28 14:17:35.957698+00:00,1.5721999999999996,0.1078,6.32,8.0,1,1,74.0,bot
KXITFMATCH-26JUL28BREJAN,ITF-M,2026-07-28,2026-07-28 14:00:39.892181+00:00,2026-07-28 16:07:56.023959+00:00,-5.604900000000001,0.7149,28.89,24.0,1,3,69.0,bot
KXITFWMATCH-26JUL28FAVSOU,ITF-W,2026-07-28,2026-07-28 14:00:42.273408+00:00,2026-07-28 14:33:26.009330+00:00,-6.367899999999999,0.6578999999999999,26.71,21.0,2,2,58.0,bot
KXATPCHALLENGERMATCH-26JUL28ARNPIE,Challenger,2026-07-28,2026-07-28 14:00:44.610948+00:00,2026-07-28 14:52:35.961643+00:00,2.6528,0.1372,6.21,9.0,1,2,66.0,bot
KXITFWMATCH-26JUL28RUTSPI,ITF-W,2026-07-28,2026-07-28 14:01:25.734173+00:00,2026-07-28 15:17:15.962787+00:00,-2.3276,0.2476,10.08,8.0,1,1,74.0,bot
KXITFMATCH-26JUL28TABSPI,ITF-M,2026-07-28,2026-07-28 14:02:11.119047+00:00,2026-07-28 16:47:46.017876+00:00,-7.7508,0.4308,35.32,28.0,1,2,62.0,bot
KXATPCHALLENGERMATCH-26JUL28TABSQU,Challenger,2026-07-28,2026-07-28 14:09:49.107299+00:00,2026-07-28 15:32:36.026383+00:00,-5.056600000000002,0.4966,24.560000000000002,20.0,1,2,74.0,bot
KXITFWMATCH-26JUL28SAGLEV,ITF-W,2026-07-28,2026-07-28 14:17:24.443483+00:00,2026-07-28 15:54:06.012206+00:00,-8.794000000000002,1.234,71.56,64.0,1,3,49.0,bot
KXATPCHALLENGERMATCH-26JUL28GOMCER,Challenger,2026-07-28,2026-07-28 14:44:30.919623+00:00,2026-07-28 15:32:36.029081+00:00,1.7599999999999998,0.0,6.24,8.0,1,1,73.0,bot
KXITFMATCH-26JUL28SALFAB,ITF-M,2026-07-28,2026-07-28 15:32:54.554187+00:00,2026-07-28 16:32:55.962838+00:00,3.6738999999999984,0.2261,9.100000000000001,13.0,1,1,48.0,bot
KXITFMATCH-26JUL28PLUPLA,ITF-M,2026-07-28,2026-07-28 15:32:55.664458+00:00,2026-07-28 16:37:46.009733+00:00,3.2187,0.1913,7.59,11.0,1,1,54.0,bot
KXATPCHALLENGERMATCH-26JUL28MAENEU,Challenger,2026-07-28,2026-07-28 15:35:15.966024+00:00,2026-07-28 16:07:15.960013+00:00,2.7407,0.1393,6.12,9.0,1,1,67.0,bot
KXATPCHALLENGERMATCH-26JUL28ADDPOU,Challenger,2026-07-28,2026-07-28 15:54:27.624146+00:00,2026-07-28 17:02:26.071818+00:00,-2.530000000000001,0.0,13.530000000000001,11.0,1,1,54.0,bot
KXITFMATCH-26JUL28PERZAH,ITF-M,2026-07-28,2026-07-28 15:55:33.502032+00:00,2026-07-28 16:52:56.005445+00:00,3.0048000000000004,0.1452,5.85,9.0,1,1,67.0,bot
KXITFMATCH-26JUL28DHOREC,ITF-M,2026-07-28,2026-07-28 15:55:34.605435+00:00,2026-07-28 16:57:46.013665+00:00,-3.435199999999999,0.2352,11.2,8.0,1,1,70.0,bot
KXITFMATCH-26JUL28ROUSTR,ITF-M,2026-07-28,2026-07-28 16:01:11.707455+00:00,2026-07-28 16:47:46.019645+00:00,2.4299999999999997,0.0,6.57,9.0,1,1,68.0,bot
KXATPMATCH-26JUL27MAJPAU,ATP,2026-07-27,2026-07-28 16:03:57.403641+00:00,2026-07-28 17:22:06.308768+00:00,6.0142999999999995,0.3357,12.65,19.0,1,2,57.0,bot
KXWTAMATCH-26JUL28BUCKUD,WTA,2026-07-28,2026-07-28 16:06:11.655061+00:00,2026-07-28 17:32:25.970882+00:00,-2.8091999999999997,0.2892,11.52,9.0,1,1,67.0,bot
KXWTAMATCH-26JUL27SONBRA,WTA,2026-07-27,2026-07-28 16:06:13.757975+00:00,2026-07-28 17:27:06.062934+00:00,-1.8232999999999997,0.0633,9.76,8.0,1,1,72.0,bot
KXWTAMATCH-26JUL27WANMCC,WTA,2026-07-27,2026-07-28 16:17:40.195031+00:00,2026-07-28 18:47:06.072382+00:00,-4.022500000000001,0.1525,12.870000000000001,9.0,1,2,67.0,bot
KXITFMATCH-26JUL28MAZEDE,ITF-M,2026-07-28,2026-07-28 17:04:11.722069+00:00,2026-07-28 17:57:35.956692+00:00,-3.0043999999999995,0.4844,20.52,18.0,1,1,34.0,bot
