wallet,n_markets_p1,n_fills_p1,avg_entry_p1,win_rate_p1,edge_p1,edge_se_p1,notional_p1,n_markets_p2,n_fills_p2,avg_entry_p2,win_rate_p2,edge_p2,edge_se_p2,notional_p2
0x2da1e296796be933c357a6c650cdef38d714fb50,51.0,62.0,0.9519926563223539,0.9803921568627451,0.028399500540391302,0.015035658451711521,79054.27698265176,23.0,53.0,0.9596476296964924,1.0,0.04035237030350772,0.009499737676097188,21032.71228199491
0x2db8f5b0fc0ebc26e309321843492a1a62a9e042,25.0,31.0,0.7252921846014686,0.72,-0.00529218460146879,0.08014264973399113,5037.794862462121,20.0,20.0,0.7277994839749999,0.8,0.072200516025,0.06781192687004665,3057.9099380162847
0x2e6c80dfdcc99f76f76c91a21d74a8f9a00ee09c,104.0,343.0,0.5697007728879547,0.6442307692307693,0.07452999634281449,0.03782234438323862,10045.634779139444,46.0,107.0,0.5034777508240577,0.5869565217391305,0.0834787709150727,0.06769207862476047,585.679882001462
0x2e893bbca455c5ae407b8f9a1e4d858504ac9cd6,25.0,42.0,0.5949118081521281,0.6,0.005088191847871962,0.07887445114930296,77.7798789990016,34.0,50.0,0.7080189180965772,0.6176470588235294,-0.09037185927304778,0.06649663440934277,60.319834999845256
0x2ecb34e1cb95b3c8d9d3e2905668d3eee03a7645,34.0,212.0,0.4324738520029917,0.38235294117647056,-0.05012091082652108,0.0701482844259002,4038.3813436294836,30.0,118.0,0.42215264315979295,0.4666666666666667,0.04451402350687371,0.08452934327140872,3088.2443179813527
0x2ed38d810b127567c6f63021ac2ef9224b12274c,66.0,174.0,0.5799004361437953,0.6666666666666666,0.08676623052287129,0.05109196737572698,673.5593756876625,119.0,319.0,0.45790708545968195,0.46218487394957986,0.004277788489897906,0.0396371981819282,2976.549653986326
0x2f26606ccc45a934838a97d44a30c32012ae0d8f,142.0,1418.0,0.49698532434790105,0.5140845070422535,0.017099182694352424,0.03258933859920177,24029.255685570606,124.0,626.0,0.46612872830556346,0.49193548387096775,0.025806755565404273,0.03691715794191416,10287.264184011643
0x2f578e983bfce63208b317f36d531e7af9483e7a,26.0,34.0,0.637355132023077,0.6923076923076923,0.05495256028461529,0.08097246838172505,5496.850105569948,30.0,31.0,0.5836966019168449,0.5666666666666667,-0.017029935250178173,0.07813511306844272,2551.6999700035967
0x30d05e6f3adea1a242432516060c098524f2ee0b,33.0,33.0,0.5381818181818182,0.48484848484848486,-0.05333333333333333,0.08023245898479914,35.189127000000006,63.0,91.0,0.4117460470230782,0.4603174603174603,0.04857141329438214,0.05531035092961404,125.68625999996478
0x31121402eafd4a157141db8f84b5da297ff63fcd,53.0,78.0,0.9873371547169814,1.0,0.012662845283018875,0.0008413059776503636,5924.814458499615,62.0,82.0,0.980617549513005,1.0,0.01938245048699512,0.004538918796387734,3214.6750499982295
