minute_of_day,n,rms_logret,se,ci_lo,ci_hi,vol_ratio_to_mean
1329,71,0.0005149470265349554,4.321339451784451e-05,0.0004302487732799802,0.0005996452797899307,0.9197735276310876
1330,71,0.0005424844391867483,4.5524282853155306e-05,0.00045325684479456386,0.0006317120335789327,0.9689595251636961
1331,71,0.0006103933423509346,5.122307141293133e-05,0.0005099961223815892,0.00071079056232028,1.0902551307353532
1332,71,0.0006125120226853207,5.1400867117011985e-05,0.0005117663231359773,0.0007132577222346641,1.0940394153018524
1333,71,0.0009213035209341931,7.731407401010783e-05,0.0007697679358743818,0.0010728391059940045,1.6455878873029322
1334,71,0.0020087149571270616,0.00016856761461527632,0.00167832243248112,0.0023391074817730034,3.58786971653029
1335,71,0.0006549931531170123,5.496580439077657e-05,0.0005472601765110903,0.0007627261297229344,1.1699171603542575
1336,71,0.0007442279186333898,6.245421956410859e-05,0.000621817648287737,0.0008666381889790427,1.3293039920806466
1337,71,0.0005701595406876278,4.784672578000599e-05,0.00047637995815881604,0.0006639391232164395,1.018391455873727
1338,71,0.0006714305230921417,5.6345197837032e-05,0.000560993935331559,0.0007818671108527245,1.1992767973420357
1339,71,0.0006767853242442594,5.679456276745628e-05,0.0005654679812200452,0.0007881026672684737,1.2088412847390941
